Week,WeekDay,Hour, Revenue ,Count, AvgFare 
48,1,0," 237,751.37 ",4263, 55.77 
48,1,1," 132,028.01 ",2462, 53.63 
48,1,2," 69,035.86 ",1294, 53.35 
48,1,3," 43,663.02 ",810, 53.90 
48,1,4," 43,230.58 ",751, 57.56 
48,1,5," 51,695.99 ",900, 57.44 
48,1,6," 110,421.79 ",1833, 60.24 
48,1,7," 260,143.99 ",4403, 59.08 
48,1,8," 587,430.53 ",9826, 59.78 
48,1,9," 937,152.36 ",16040, 58.43 
48,1,10," 1,216,280.23 ",20334, 59.82 
48,1,11," 1,337,947.51 ",22374, 59.80 
48,1,12," 775,739.70 ",13731, 56.50 
48,1,13," 768,148.96 ",13612, 56.43 
48,1,14," 1,290,327.31 ",22644, 56.98 
48,1,15," 1,581,366.40 ",26686, 59.26 
48,1,16," 1,684,758.52 ",28360, 59.41 
48,1,17," 1,753,641.29 ",29570, 59.30 
48,1,18," 1,802,172.00 ",30391, 59.30 
48,1,19," 1,887,901.78 ",32297, 58.45 
48,1,20," 1,884,950.20 ",31845, 59.19 
48,1,21," 1,604,706.14 ",27709, 57.91 
48,1,22," 1,064,196.54 ",18482, 57.58 
48,1,23," 528,552.70 ",9600, 55.06 
48,2,0," 233,768.29 ",4274, 54.70 
48,2,1," 111,234.00 ",2013, 55.26 
48,2,2," 63,001.13 ",1210, 52.07 
48,2,3," 49,671.00 ",890, 55.81 
48,2,4," 48,268.40 ",946, 51.02 
48,2,5," 92,231.32 ",1622, 56.86 
48,2,6," 190,640.78 ",3264, 58.41 
48,2,7," 497,297.43 ",8509, 58.44 
48,2,8," 947,888.57 ",15937, 59.48 
48,2,9," 1,393,396.00 ",23790, 58.57 
48,2,10," 1,699,927.65 ",28625, 59.39 
48,2,11," 1,757,041.82 ",29968, 58.63 
48,2,12," 1,620,767.72 ",28682, 56.51 
48,2,13," 1,601,482.95 ",28793, 55.62 
48,2,14," 1,607,365.19 ",28687, 56.03 
48,2,15," 1,627,840.00 ",28334, 57.45 
48,2,16," 1,789,801.24 ",30928, 57.87 
48,2,17," 1,827,803.82 ",32645, 55.99 
48,2,18," 1,971,528.08 ",35280, 55.88 
48,2,19," 2,182,464.27 ",39759, 54.89 
48,2,20," 2,425,328.55 ",43784, 55.39 
48,2,21," 2,286,520.31 ",41739, 54.78 
48,2,22," 1,642,039.25 ",30696, 53.49 
48,2,23," 871,894.92 ",16365, 53.28 
48,3,0," 348,135.35 ",6482, 53.71 
48,3,1," 143,683.22 ",2719, 52.84 
48,3,2," 82,573.45 ",1531, 53.93 
48,3,3," 69,592.38 ",1223, 56.90 
48,3,4," 79,850.73 ",1440, 55.45 
48,3,5," 128,155.88 ",2189, 58.55 
48,3,6," 260,382.43 ",4459, 58.39 
48,3,7," 605,985.15 ",10482, 57.81 
48,3,8," 1,022,886.89 ",17633, 58.01 
48,3,9," 1,504,017.39 ",25840, 58.21 
48,3,10," 1,693,964.99 ",28990, 58.43 
48,3,11," 1,642,904.02 ",28603, 57.44 
48,3,12," 1,523,276.42 ",27189, 56.03 
48,3,13," 1,568,692.47 ",27056, 57.98 
48,3,14," 1,499,790.22 ",26215, 57.21 
48,3,15," 1,479,137.88 ",25981, 56.93 
48,3,16," 1,656,508.96 ",28004, 59.15 
48,3,17," 1,701,745.17 ",30105, 56.53 
48,3,18," 1,805,466.35 ",32065, 56.31 
48,3,19," 2,010,889.65 ",36031, 55.81 
48,3,20," 2,340,853.82 ",40851, 57.30 
48,3,21," 2,169,330.29 ",39304, 55.19 
48,3,22," 1,582,247.81 ",29192, 54.20 
48,3,23," 822,754.68 ",15000, 54.85 
48,4,0," 325,920.96 ",5965, 54.64 
48,4,1," 148,231.03 ",2762, 53.67 
48,4,2," 94,659.62 ",1671, 56.65 
48,4,3," 83,876.14 ",1408, 59.57 
48,4,4," 87,846.21 ",1499, 58.60 
48,4,5," 119,331.24 ",2059, 57.96 
48,4,6," 228,346.62 ",3879, 58.87 
48,4,7," 499,561.63 ",8292, 60.25 
48,4,8," 889,073.88 ",14885, 59.73 
48,4,9," 1,287,361.16 ",21703, 59.32 
48,4,10," 1,435,052.34 ",23962, 59.89 
48,4,11," 1,506,840.26 ",25308, 59.54 
48,4,12," 1,436,276.07 ",24851, 57.80 
48,4,13," 1,415,801.64 ",25109, 56.39 
48,4,14," 1,406,263.03 ",23982, 58.64 
48,4,15," 1,371,922.82 ",23609, 58.11 
48,4,16," 1,367,937.89 ",23953, 57.11 
48,4,17," 1,513,223.96 ",26643, 56.80 
48,4,18," 1,598,784.86 ",28144, 56.81 
48,4,19," 1,728,651.39 ",30500, 56.68 
48,4,20," 1,959,599.86 ",34400, 56.97 
48,4,21," 1,754,513.28 ",30687, 57.17 
48,4,22," 1,266,426.53 ",22573, 56.10 
48,4,23," 621,480.58 ",11253, 55.23 
48,5,0," 278,888.40 ",4947, 56.38 
48,5,1," 130,764.01 ",2365, 55.29 
48,5,2," 78,674.46 ",1385, 56.80 
48,5,3," 61,487.10 ",1053, 58.39 
48,5,4," 66,904.82 ",1162, 57.58 
48,5,5," 114,119.04 ",2023, 56.41 
48,5,6," 231,885.44 ",3918, 59.18 
48,5,7," 491,641.64 ",8148, 60.34 
48,5,8," 863,173.42 ",14336, 60.21 
48,5,9," 1,211,727.74 ",19830, 61.11 
48,5,10," 1,369,521.97 ",22964, 59.64 
48,5,11," 1,396,240.83 ",23635, 59.08 
48,5,12," 1,345,229.34 ",22625, 59.46 
48,5,13," 1,221,058.29 ",20931, 58.34 
48,5,14," 1,371,458.91 ",22656, 60.53 
48,5,15," 1,334,585.37 ",22166, 60.21 
48,5,16," 1,312,338.48 ",21987, 59.69 
48,5,17," 1,378,203.18 ",23582, 58.44 
48,5,18," 1,432,012.05 ",24786, 57.78 
48,5,19," 1,539,476.04 ",26438, 58.23 
48,5,20," 1,678,512.71 ",28961, 57.96 
48,5,21," 1,496,199.91 ",26270, 56.95 
48,5,22," 1,078,884.46 ",19203, 56.18 
48,5,23," 626,499.61 ",10465, 59.87 
48,6,0," 295,080.50 ",5148, 57.32 
48,6,1," 145,602.35 ",2562, 56.83 
48,6,2," 85,489.96 ",1493, 57.26 
48,6,3," 62,242.64 ",1155, 53.89 
48,6,4," 66,731.57 ",1186, 56.27 
48,6,5," 123,900.85 ",2147, 57.71 
48,6,6," 260,286.54 ",4226, 61.59 
48,6,7," 497,730.40 ",8325, 59.79 
48,6,8," 932,937.23 ",15580, 59.88 
48,6,9," 1,252,856.77 ",20924, 59.88 
48,6,10," 1,470,320.57 ",24541, 59.91 
48,6,11," 1,427,057.16 ",24490, 58.27 
48,6,12," 1,380,662.59 ",23844, 57.90 
48,6,13," 1,364,583.12 ",23037, 59.23 
48,6,14," 1,380,593.00 ",23337, 59.16 
48,6,15," 1,385,295.21 ",23907, 57.95 
48,6,16," 1,434,121.47 ",24465, 58.62 
48,6,17," 1,425,762.55 ",24325, 58.61 
