Market,Week,WeekDay,Hour,Revenue,Count,AvgFare
STNDUB,48,1,0,576,14,41 
STNDUB,48,1,1,191,8,24 
STNDUB,48,1,2,363,10,36 
STNDUB,48,1,3,150,2,75 
STNDUB,48,1,4,507,3,169 
STNDUB,48,1,5,425,4,106 
STNDUB,48,1,6,280,5,56 
STNDUB,48,1,7,154,5,31 
STNDUB,48,1,8,1113,25,45 
STNDUB,48,1,9,1639,35,47 
STNDUB,48,1,10,1774,47,38 
STNDUB,48,1,11,2166,49,44 
STNDUB,48,1,12,1680,39,43 
STNDUB,48,1,13,1794,41,44 
STNDUB,48,1,14,3516,87,40 
STNDUB,48,1,15,3484,86,41 
STNDUB,48,1,16,3378,85,40 
STNDUB,48,1,17,3927,89,44 
STNDUB,48,1,18,3395,80,42 
STNDUB,48,1,19,2659,79,34 
STNDUB,48,1,20,4860,92,53 
STNDUB,48,1,21,4058,95,43 
STNDUB,48,1,22,3476,80,43 
STNDUB,48,1,23,2325,59,39 
STNDUB,48,2,0,736,23,32 
STNDUB,48,2,1,735,15,49 
STNDUB,48,2,2,140,5,28 
STNDUB,48,2,3,33,1,33 
STNDUB,48,2,4,106,2,53 
STNDUB,48,2,5,494,2,247 
STNDUB,48,2,6,235,9,26 
STNDUB,48,2,7,340,7,49 
STNDUB,48,2,8,1501,39,38 
STNDUB,48,2,9,2333,62,38 
STNDUB,48,2,10,5415,102,53 
STNDUB,48,2,11,5533,124,45 
STNDUB,48,2,12,3182,81,39 
STNDUB,48,2,13,4793,99,48 
STNDUB,48,2,14,4091,101,41 
STNDUB,48,2,15,5540,125,44 
STNDUB,48,2,16,4246,105,40 
STNDUB,48,2,17,3450,79,44 
STNDUB,48,2,18,4009,106,38 
STNDUB,48,2,19,6357,149,43 
STNDUB,48,2,20,6655,192,35 
STNDUB,48,2,21,5760,149,39 
STNDUB,48,2,22,5066,124,41 
STNDUB,48,2,23,2566,63,41 
STNDUB,48,3,0,1192,33,36 
STNDUB,48,3,1,526,14,38 
STNDUB,48,3,2,601,14,43 
STNDUB,48,3,3,70,2,35 
STNDUB,48,3,4,434,11,39 
STNDUB,48,3,5,360,15,24 
STNDUB,48,3,6,506,10,51 
STNDUB,48,3,7,2803,48,58 
STNDUB,48,3,8,1148,30,38 
STNDUB,48,3,9,3718,82,45 
STNDUB,48,3,10,3741,108,35 
STNDUB,48,3,11,3655,102,36 
STNDUB,48,3,12,4155,113,37 
STNDUB,48,3,13,4989,114,44 
STNDUB,48,3,14,4208,102,41 
STNDUB,48,3,15,3101,71,44 
STNDUB,48,3,16,3860,82,47 
STNDUB,48,3,17,3469,92,38 
STNDUB,48,3,18,5184,106,49 
STNDUB,48,3,19,4022,87,46 
STNDUB,48,3,20,5846,129,45 
STNDUB,48,3,21,5269,126,42 
STNDUB,48,3,22,5276,132,40 
STNDUB,48,3,23,3434,81,42 
STNDUB,48,4,0,1675,42,40 
STNDUB,48,4,1,578,16,36 
STNDUB,48,4,2,736,10,74 
STNDUB,48,4,3,83,3,28 
STNDUB,48,4,4,16,1,16 
STNDUB,48,4,5,125,4,31 
STNDUB,48,4,6,378,7,54 
STNDUB,48,4,7,1923,28,69 
STNDUB,48,4,8,847,15,56 
STNDUB,48,4,9,3200,64,50 
STNDUB,48,4,10,4501,91,49 
STNDUB,48,4,11,4338,81,54 
STNDUB,48,4,12,2416,61,40 
STNDUB,48,4,13,4539,89,51 
