Week,WeekDay,Hour, Revenue,Count,AvgFare
47,1,0,237751.37,4263, 55.77 
47,1,1,132028.01,2462, 53.63 
47,1,2,69035.86,1294, 53.35 
47,1,3,43663.02,810, 53.90 
47,1,4,43230.58,751, 57.56 
47,1,5,51695.99,900, 57.44 
47,1,6,110421.79,1833, 60.24 
47,1,7,260143.99,4403, 59.08 
47,1,8,587430.53,9826, 59.78 
47,1,9,937152.36,16040, 58.43 
47,1,10,1216280.23,20334, 59.82 
47,1,11,1337947.51,22374, 59.80 
47,1,12,775739.70,13731, 56.50 
47,1,13,768147.96,13612, 56.43 
47,1,14,1290327.31,22644, 56.98 
47,1,15,1581366.40,26686, 59.26 
47,1,16,1684758.52,28360, 59.41 
47,1,17,1753641.29,29570, 59.30 
47,1,18,1802172.00,30391, 59.30 
47,1,19,1887901.78,32297, 58.45 
47,1,20,1884950.20,31845, 59.19 
47,1,21,1604706.14,27709, 57.91 
47,1,22,1064196.54,18472, 57.58 
47,1,23,528552.70,9600, 55.06 
47,2,0,233768.29,4274, 54.70 
47,2,1,111234.00,2013, 55.26 
47,2,2,63001.13,1210, 52.07 
47,2,3,49671.00,890, 55.81 
47,2,4,47268.40,946, 51.02 
47,2,5,92231.32,1622, 56.86 
47,2,6,190640.78,3264, 58.41 
47,2,7,497297.43,8509, 58.44 
47,2,8,947888.57,15937, 59.47 
47,2,9,1393396.00,23790, 58.57 
47,2,10,1699927.65,28625, 59.39 
47,2,11,1757041.82,29968, 58.63 
47,2,12,1620767.72,28682, 56.51 
47,2,13,1601472.95,28793, 55.62 
47,2,14,1607365.19,28687, 56.03 
47,2,15,1627840.00,28334, 57.45 
47,2,16,1789801.24,30928, 57.87 
47,2,17,1827803.82,32645, 55.99 
47,2,18,1971528.08,35280, 55.88 
47,2,19,2182464.27,39759, 54.89 
47,2,20,2425328.55,43784, 55.39 
47,2,21,2286520.31,41739, 54.78 
47,2,22,1642039.25,30696, 53.49 
47,2,23,871894.92,16365, 53.28 
47,3,0,347135.35,6472, 53.71 
47,3,1,143683.22,2719, 52.84 
47,3,2,82573.45,1531, 53.93 
47,3,3,69592.38,1223, 56.90 
47,3,4,79850.73,1440, 55.45 
47,3,5,128155.88,2189, 58.55 
47,3,6,260382.43,4459, 58.39 
47,3,7,605985.15,10472, 57.81 
47,3,8,1022886.89,17633, 58.01 
47,3,9,1504017.39,25840, 58.21 
47,3,10,1693964.99,28990, 58.43 
47,3,11,1642904.02,28603, 57.44 
47,3,12,1523276.42,27189, 56.03 
47,3,13,1568692.47,27056, 57.98 
47,3,14,1499790.22,26215, 57.21 
47,3,15,1479137.88,25981, 56.93 
47,3,16,1656508.96,28004, 59.15 
47,3,17,1701745.17,30105, 56.53 
47,3,18,1805466.35,32065, 56.31 
47,3,19,2010889.65,36031, 55.81 
47,3,20,2340853.82,40851, 57.30 
47,3,21,2169330.29,39304, 55.19 
47,3,22,1582247.81,29192, 54.20 
47,3,23,822754.68,15000, 54.85 
47,4,0,325920.96,5965, 54.64 
47,4,1,147231.03,2762, 53.67 
47,4,2,94659.62,1671, 56.65 
47,4,3,83876.14,1408, 59.57 
47,4,4,87846.21,1499, 58.60 
47,4,5,119331.24,2059, 57.96 
47,4,6,228346.62,3879, 58.87 
47,4,7,499561.63,8292, 60.25 
47,4,8,889073.88,14785, 59.73 
47,4,9,1287361.16,21703, 59.32 
47,4,10,1435052.34,23962, 59.89 
47,4,11,1506840.26,25308, 59.54 
47,4,12,1436276.07,24751, 57.80 
47,4,13,1415801.64,25109, 56.39 
47,4,14,1406263.03,23982, 58.64 
47,4,15,1371922.82,23609, 58.11 
47,4,16,1367937.89,23953, 57.11 
47,4,17,1513223.96,26643, 56.80 
47,4,18,1598784.86,28144, 56.81 
47,4,19,1728651.39,30500, 56.68 
47,4,20,1959599.86,34400, 56.97 
47,4,21,1754513.28,30687, 57.17 
47,4,22,1266426.53,22573, 56.10 
47,4,23,621470.58,11253, 55.23 
47,5,0,278888.40,4947, 56.38 
47,5,1,130764.01,2365, 55.29 
47,5,2,78674.46,1385, 56.80 
47,5,3,61477.10,1053, 58.39 
47,5,4,66904.82,1162, 57.58 
47,5,5,114119.04,2023, 56.41 
47,5,6,231885.44,3918, 59.18 
47,5,7,491641.64,8147, 60.34 
47,5,8,863173.42,14336, 60.21 
47,5,9,1211727.74,19830, 61.11 
47,5,10,1369521.97,22964, 59.64 
47,5,11,1396240.83,23635, 59.08 
47,5,12,1345229.34,22625, 59.46 
47,5,13,1221058.29,20931, 58.34 
47,5,14,1371458.91,22656, 60.53 
47,5,15,1334585.37,22166, 60.21 
47,5,16,1312338.47,21987, 59.69 
47,5,17,1378203.18,23582, 58.44 
47,5,18,1432012.05,24786, 57.78 
47,5,19,1539476.04,26438, 58.23 
47,5,20,1678512.71,28961, 57.96 
47,5,21,1496199.91,26270, 56.95 
47,5,22,1078884.46,19203, 56.18 
47,5,23,626499.61,10465, 59.87 
47,6,0,295080.50,5147, 57.32 
47,6,1,145602.35,2562, 56.83 
47,6,2,85479.96,1493, 57.26 
47,6,3,62242.64,1155, 53.89 
47,6,4,66731.57,1186, 56.27 
47,6,5,123900.85,2147, 57.71 
47,6,6,260286.54,4226, 61.59 
47,6,7,497730.40,8325, 59.79 
47,6,8,932937.23,15580, 59.88 
47,6,9,1252856.77,20924, 59.88 
47,6,10,1470320.57,24541, 59.91 
47,6,11,1427057.16,24490, 58.27 
47,6,12,1380662.59,23844, 57.90 
47,6,13,1364583.12,23037, 59.23 
47,6,14,1380593.00,23337, 59.16 
47,6,15,1385295.21,23907, 57.95 
47,6,16,1434121.47,24465, 58.62 
47,6,17,1425762.55,24325, 58.61 
47,6,18,1359635.63,23931, 56.81 
47,6,19,1309888.05,23347, 56.10 
47,6,20,1273945.13,23182, 54.95 
47,6,21,1139062.32,21228, 53.66 
47,6,22,853383.63,15971, 53.43 
47,6,23,557491.93,10322, 54.01 
47,7,0,284202.80,4931, 57.64 
47,7,1,150634.80,2637, 57.12 
47,7,2,89239.78,1555, 77.39 
47,7,3,57504.83,983, 58.50 
47,7,4,51720.38,837, 61.79 
47,7,5,63601.29,1181, 53.85 
47,7,6,140521.33,2426, 57.92 
47,7,7,298283.90,5202, 57.34 
47,7,8,583243.06,9752, 59.81 
47,7,9,884583.01,14628, 60.47 
47,7,10,1127272.88,18625, 60.52 
47,7,11,1174766.57,19547, 60.10 
47,7,12,1126795.66,18720, 60.19 
47,7,13,1146261.28,19364, 59.20 
47,7,14,1137206.21,18772, 60.58 
47,7,15,1115430.19,18289, 60.99 
47,7,16,1173992.04,19049, 61.63 
47,7,17,1321468.49,21035, 62.82 
47,7,18,1333993.30,20436, 65.28 
47,7,19,1073179.85,17729, 60.53 
47,7,20,1033444.19,17204, 60.07 
47,7,21,934671.75,15532, 60.18 
47,7,22,675879.88,11472, 58.92 
47,7,23,429705.14,7474, 57.42
48,1,0,237751.37,4263, 55.77 
48,1,1,132028.01,2462, 53.63 
48,1,2,69035.86,1294, 53.35 
48,1,3,43663.02,810, 53.90 
48,1,4,43230.58,751, 57.56 
48,1,5,51695.99,900, 57.44 
48,1,6,110421.79,1833, 60.24 
48,1,7,260143.99,4403, 59.08 
48,1,8,587430.53,9826, 59.78 
48,1,9,937152.36,16040, 58.43 
48,1,10,1216280.23,20334, 59.82 
